Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed,AVG,OBP,SLG,BFW,O_AVG,O_OBP,O_SLG
Atlanta Braves,ATL,2012,National,East,162,94,68,0,0.58,4,700,600,0.247,0.32,0.389,3.2,0.243,0.306,0.378
Washington Nationals,WSN,2012,National,East,162,98,64,0,0.605,-,731,594,0.261,0.322,0.428,5.0,0.237,0.303,0.373
Philadelphia Phillies,PHI,2012,National,East,162,81,81,0,0.5,17,684,680,0.255,0.317,0.4,2.8,0.251,0.306,0.407
New York Mets,NYM,2012,National,East,162,74,88,0,0.457,24,650,709,0.249,0.316,0.386,-2.5,0.251,0.315,0.401
Miami Marlins,MIA,2012,National,East,162,69,93,0,0.426,29,609,724,0.244,0.308,0.382,-5.4,0.263,0.327,0.399
Milwaukee Brewers,MIL,2012,National,Central,162,83,79,0,0.512,14,776,733,0.259,0.325,0.437,2.4,0.261,0.326,0.414
Chicago Cubs,CHC,2012,National,Central,162,61,101,0,0.377,36,613,759,0.24,0.302,0.378,-8.1,0.259,0.335,0.424
St. Louis Cardinals,STL,2012,National,Central,162,88,74,0,0.5429999999999999,9,765,648,0.271,0.338,0.421,13.4,0.255,0.313,0.387
Pittsburgh Pirates,PIT,2012,National,Central,162,79,83,0,0.488,18,651,674,0.243,0.304,0.395,-2.7,0.249,0.314,0.39
Cincinnati Reds,CIN,2012,National,Central,162,97,65,0,0.599,-,669,588,0.251,0.315,0.411,-1.2,0.247,0.305,0.39
Los Angeles Dodgers,LAD,2012,National,West,162,86,76,0,0.531,8,637,597,0.252,0.317,0.374,0.9,0.238,0.31,0.364
Colorado Rockies,COL,2012,American,West,162,64,98,0,0.395,30,758,890,0.274,0.33,0.436,1.0,0.29,0.357,0.47
Arizona Diamondbacks,ARI,2012,National,West,162,81,81,0,0.5,13,734,688,0.259,0.328,0.418,8.5,0.261,0.317,0.415
San Francisco Giants,SFG,2012,National,West,162,94,68,0,0.58,-,718,649,0.269,0.327,0.397,9.3,0.248,0.313,0.393
