Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed
Washington Nationals,WSN,2012,National,East,162,98,64,0,0.605,-,731,594
Atlanta Braves,ATL,2012,National,East,162,94,68,0,0.58,4,700,600
Philadelphia Phillies,PHI,2012,National,East,162,81,81,0,0.5,17,684,680
New York Mets,NYM,2012,National,East,162,74,88,0,0.457,24,650,709
Miami Marlins,MIA,2012,National,East,162,69,93,0,0.426,29,609,724
Cincinnati Reds,CIN,2012,National,Central,162,97,65,0,0.599,-,669,588
St. Louis Cardinals,STL,2012,National,Central,162,88,74,0,0.543,9,765,648
Milwaukee Brewers,MIL,2012,National,Central,162,83,79,0,0.512,14,776,733
Pittsburgh Pirates,PIT,2012,National,Central,162,79,83,0,0.488,18,651,674
Chicago Cubs,CHC,2012,National,Central,162,61,101,0,0.377,36,613,759
Houston Astros,HOU,2012,National,Central,162,55,107,0,0.34,42,583,794
San Francisco Giants,SFG,2012,National,West,162,94,68,0,0.58,-,718,649
Los Angeles Dodgers,LAD,2012,National,West,162,86,76,0,0.531,8,637,597
Arizona Diamondbacks,ARI,2012,National,West,162,81,81,0,0.5,13,734,688
San Diego Padres,SDP,2012,National,West,162,76,86,0,0.469,18,651,710
Colorado Rockies,COL,2012,American,West,162,64,98,0,0.395,30,758,890
New York Yankees,NYY,2012,American,East,162,95,67,0,0.586,-,804,668
Baltimore Orioles,BAL,2012,American,East,162,93,69,0,0.574,2,712,705
Tampa Bay Rays,TBR,2012,American,East,162,90,72,0,0.556,5,697,577
Toronto Blue Jays,TOR,2012,American,East,162,73,89,0,0.451,22,716,784
Boston Red Sox,BOS,2012,American,East,162,69,93,0,0.426,26,734,806
Detroit Tigers,DET,2012,American,Central,162,88,74,0,0.543,-,726,670
Chicago White Sox,CHW,2012,American,Central,162,85,77,0,0.525,3,748,676
Kansas City Royals,KCR,2012,American,Central,162,72,90,0,0.444,16,676,746
Cleveland Indians,CLE,2012,American,Central,162,68,94,0,0.42,20,667,845
Minnesota Twins,MIN,2012,American,Central,162,66,96,0,0.407,22,701,832
Oakland Athletics,OAK,2012,American,West,162,94,68,0,0.58,-,713,614
Texas Rangers,TEX,2012,American,West,162,93,69,0,0.574,1,808,707
Anaheim Angels,LAA,2012,American,West,162,89,73,0,0.549,5,767,699
Seattle Mariners,SEA,2012,American,West,162,75,87,0,0.463,19,619,651
Atlanta Braves,ATL,2013,National,East,162,96,66,0,0.593,-,688,548
Washington Nationals,WSN,2013,National,East,162,86,76,0,0.531,10,656,626
New York Mets,NYM,2013,National,East,162,74,88,0,0.457,22,619,684
Philadelphia Phillies,PHI,2013,National,East,162,73,89,0,0.451,23,610,749
Miami Marlins,MIA,2013,National,East,162,62,100,0,0.383,34,513,646
St. Louis Cardinals,STL,2013,National,Central,162,97,65,0,0.599,-,783,596
Pittsburgh Pirates,PIT,2013,National,Central,162,94,68,0,0.58,3,634,577
Cincinnati Reds,CIN,2013,National,Central,162,90,72,0,0.556,7,698,589
Milwaukee Brewers,MIL,2013,National,Central,162,74,88,0,0.457,23,640,687
Chicago Cubs,CHC,2013,National,Central,162,66,96,0,0.407,31,602,689
Los Angeles Dodgers,LAD,2013,National,West,162,92,70,0,0.568,-,649,582
Arizona Diamondbacks,ARI,2013,National,West,162,81,81,0,0.5,11,685,695
San Diego Padres,SDP,2013,National,West,162,76,86,0,0.469,16,618,700
San Francisco Giants,SFG,2013,National,West,162,76,86,0,0.469,16,629,691
Colorado Rockies,COL,2013,National,West,162,74,88,0,0.457,18,706,760
Boston Red Sox,BOS,2013,American,East,162,97,65,0,0.599,-,853,656
Tampa Bay Rays,TBR,2013,American,East,163,92,71,0,0.564,5.5,700,646
Baltimore Orioles,BAL,2013,American,East,162,85,77,0,0.525,12,745,709
New York Yankees,NYY,2013,American,East,162,85,77,0,0.525,12,650,671
Toronto Blue Jays,TOR,2013,American,East,162,74,88,0,0.457,23,712,756
Detroit Tigers,DET,2013,American,Central,162,93,69,0,0.574,-,796,624
Cleveland Indians,CLE,2013,American,Central,162,92,70,0,0.568,1,745,662
Kansas City Royals,KCR,2013,American,Central,162,86,76,0,0.531,7,648,601
Minnesota Twins,MIN,2013,American,Central,162,66,96,0,0.407,27,614,788
Chicago White Sox,CHW,2013,American,Central,162,63,99,0,0.389,30,598,723
Oakland Athletics,OAK,2013,American,West,162,96,66,0,0.593,-,767,625
Texas Rangers,TEX,2013,American,West,163,91,72,0,0.558,5.5,730,636
Anaheim Angels,LAA,2013,American,West,162,78,84,0,0.481,18,733,737
Seattle Mariners,SEA,2013,American,West,162,71,91,0,0.438,25,624,754
Houston Astros,HOU,2013,American,West,162,51,111,0,0.315,45,610,848
Washington Nationals,WSN,2014,National,East,162,96,66,0,0.593,-,686,555
Atlanta Braves,ATL,2014,National,East,162,79,83,0,0.488,17,573,597
New York Mets,NYM,2014,National,East,162,79,83,0,0.488,17,629,618
Miami Marlins,MIA,2014,National,East,162,77,85,0,0.475,19,645,674
Philadelphia Phillies,PHI,2014,National,East,162,73,89,0,0.451,23,619,687
St. Louis Cardinals,STL,2014,National,Central,162,90,72,0,0.556,-,619,603
Pittsburgh Pirates,PIT,2014,National,Central,162,88,74,0,0.543,2,682,631
Milwaukee Brewers,MIL,2014,National,Central,162,82,80,0,0.506,8,650,657
Cincinnati Reds,CIN,2014,National,Central,162,76,86,0,0.469,14,595,612
Chicago Cubs,CHC,2014,National,Central,162,73,89,0,0.451,17,614,707
Los Angeles Dodgers,LAD,2014,National,West,162,94,68,0,0.58,-,718,617
San Francisco Giants,SFG,2014,National,West,162,88,74,0,0.543,6,665,614
San Diego Padres,SDP,2014,National,West,162,77,85,0,0.475,17,535,577
Colorado Rockies,COL,2014,National,West,162,66,96,0,0.407,28,755,818
Arizona Diamondbacks,ARI,2014,National,West,162,64,98,0,0.395,30,615,742
Baltimore Orioles,BAL,2014,American,East,162,96,66,0,0.593,-,705,593
New York Yankees,NYY,2014,American,East,162,84,78,0,0.519,12,633,664
Toronto Blue Jays,TOR,2014,American,East,162,83,79,0,0.512,13,723,686
Tampa Bay Rays,TBR,2014,American,East,162,77,85,0,0.475,19,612,625
Boston Red Sox,BOS,2014,American,East,162,71,91,0,0.438,25,634,715
Detroit Tigers,DET,2014,American,Central,162,90,72,0,0.556,-,757,705
Kansas City Royals,KCR,2014,American,Central,162,89,73,0,0.549,1,651,624
Cleveland Indians,CLE,2014,American,Central,162,85,77,0,0.525,5,669,653
Chicago White Sox,CHW,2014,American,Central,162,73,89,0,0.451,17,660,758
Minnesota Twins,MIN,2014,American,Central,162,70,92,0,0.432,20,715,777
Anaheim Angels,LAA,2014,American,West,162,98,64,0,0.605,-,773,630
Oakland Athletics,OAK,2014,American,West,162,88,74,0,0.543,10,729,572
Seattle Mariners,SEA,2014,American,West,162,87,75,0,0.537,11,634,554
Houston Astros,HOU,2014,American,West,162,70,92,0,0.432,28,629,723
Texas Rangers,TEX,2014,American,West,162,67,95,0,0.414,31,637,773
New York Mets,NYM,2015,National,East,162,90,72,0,0.556,-,683,613
Washington Nationals,WSN,2015,National,East,162,83,79,0,0.512,7,703,635
Miami Marlins,MIA,2015,National,East,162,71,91,0,0.438,19,613,678
Atlanta Braves,ATL,2015,National,East,162,67,95,0,0.414,23,573,760
Philadelphia Phillies,PHI,2015,National,East,162,63,99,0,0.389,27,626,809
St. Louis Cardinals,STL,2015,National,Central,162,100,62,0,0.617,-,647,525
Pittsburgh Pirates,PIT,2015,National,Central,162,98,64,0,0.605,2,697,596
Chicago Cubs,CHC,2015,National,Central,162,97,65,0,0.599,3,689,608
Milwaukee Brewers,MIL,2015,National,Central,162,68,94,0,0.42,32,655,737
Cincinnati Reds,CIN,2015,National,Central,162,64,98,0,0.395,36,640,754
Los Angeles Dodgers,LAD,2015,National,West,162,92,70,0,0.568,-,667,595
San Francisco Giants,SFG,2015,National,West,162,84,78,0,0.519,8,696,627
Arizona Diamondbacks,ARI,2015,National,West,162,79,83,0,0.488,13,720,713
San Diego Padres,SDP,2015,National,West,162,74,88,0,0.457,18,650,731
Colorado Rockies,COL,2015,National,West,162,68,94,0,0.42,24,737,844
Toronto Blue Jays,TOR,2015,American,East,162,93,69,0,0.574,-,891,670
New York Yankees,NYY,2015,American,East,162,87,75,0,0.537,6,764,698
Baltimore Orioles,BAL,2015,American,East,162,81,81,0,0.5,12,713,693
Tampa Bay Rays,TBR,2015,American,East,162,80,82,0,0.494,13,644,642
Boston Red Sox,BOS,2015,American,East,162,78,84,0,0.481,15,748,753
Kansas City Royals,KCR,2015,American,Central,162,95,67,0,0.586,-,724,641
Minnesota Twins,MIN,2015,American,Central,162,83,79,0,0.512,12,696,700
Cleveland Indians,CLE,2015,American,Central,161,81,80,0,0.503,13.5,669,640
Chicago White Sox,CHW,2015,American,Central,162,76,86,0,0.469,19,622,701
Detroit Tigers,DET,2015,American,Central,161,74,87,0,0.46,20.5,689,803
Texas Rangers,TEX,2015,American,West,162,88,74,0,0.543,-,751,733
Houston Astros,HOU,2015,American,West,162,86,76,0,0.531,2,729,618
Anaheim Angels,LAA,2015,American,West,162,85,77,0,0.525,3,661,675
Seattle Mariners,SEA,2015,American,West,162,76,86,0,0.469,12,656,726
Oakland Athletics,OAK,2015,American,West,162,68,94,0,0.42,20,694,729
Washington Nationals,WSN,2016,National,East,162,95,67,0,0.586,-,763,612
New York Mets,NYM,2016,National,East,162,87,75,0,0.537,8,671,617
Miami Marlins,MIA,2016,National,East,161,79,82,0,0.491,15.5,655,682
