Date,Home,Away,RS,RA
thursday mar 28,OAK,LAA,4,0
friday mar 29,OAK,LAA,2,6
saturday mar 30,OAK,LAA,4,2
sunday mar 31,OAK,LAA,2,1
monday apr 1,SEA,LAA,6,3
tuesday apr 2,SEA,LAA,2,1
thursday apr 4,LAA,TEX,4,11
friday apr 5,LAA,TEX,3,1
saturday apr 6,LAA,TEX,5,1
sunday apr 7,LAA,TEX,7,2
monday apr 8,LAA,MIL,5,2
tuesday apr 9,LAA,MIL,11,8
wednesday apr 10,LAA,MIL,4,2
friday apr 12,CHC,LAA,5,1
saturday apr 13,CHC,LAA,5,6
monday apr 15,TEX,LAA,12,7
tuesday apr 16,TEX,LAA,5,0
wednesday apr 17,TEX,LAA,5,4
thursday apr 18,LAA,SEA,10,11
friday apr 19,LAA,SEA,3,5
saturday apr 20,LAA,SEA,5,6
sunday apr 21,LAA,SEA,8,6
monday apr 22,LAA,NYY,3,4
tuesday apr 23,LAA,NYY,5,7
wednesday apr 24,LAA,NYY,5,6
thursday apr 25,LAA,NYY,11,5
friday apr 26,KCR,LAA,1,5
saturday apr 27,KCR,LAA,9,4
sunday apr 28,KCR,LAA,3,7
tuesday apr 30,LAA,TOR,4,3
wednesday may 1,LAA,TOR,6,3
thursday may 2,LAA,TOR,6,2
saturday may 4,LAA,HOU,2,14
sunday may 5,LAA,HOU,4,10
tuesday may 7,DET,LAA,2,5
wednesday may 8,DET,LAA,10,3
thursday may 9,DET,LAA,0,13
friday may 10,BAL,LAA,3,8
saturday may 11,BAL,LAA,2,7
sunday may 12,BAL,LAA,5,1
monday may 13,MIN,LAA,4,5
tuesday may 14,MIN,LAA,4,3
wednesday may 15,MIN,LAA,8,7
friday may 17,LAA,KCR,5,2
saturday may 18,LAA,KCR,6,3
sunday may 19,LAA,KCR,1,5
monday may 20,LAA,MIN,1,3
tuesday may 21,LAA,MIN,3,8
thursday may 23,LAA,MIN,7,16
friday may 24,LAA,TEX,3,4
saturday may 25,LAA,TEX,3,2
sunday may 26,LAA,TEX,7,6
monday may 27,OAK,LAA,8,5
tuesday may 28,OAK,LAA,4,6
wednesday may 29,OAK,LAA,7,12
thursday may 30,SEA,LAA,3,9
friday may 31,SEA,LAA,4,3
saturday jun 1,SEA,LAA,3,6
sunday jun 2,SEA,LAA,3,13
monday jun 3,CHC,LAA,8,1
tuesday jun 4,LAA,OAK,2,4
wednesday jun 5,LAA,OAK,10,9
thursday jun 6,LAA,OAK,4,7
friday jun 7,LAA,SEA,2,6
saturday jun 8,LAA,SEA,12,3
sunday jun 9,LAA,SEA,3,9
monday jun 10,LAA,LAD,5,3
tuesday jun 11,LAA,LAD,5,3
thursday jun 13,TBR,LAA,3,5
friday jun 14,TBR,LAA,9,4
saturday jun 15,TBR,LAA,3,5
sunday jun 16,TBR,LAA,6,5
monday jun 17,TOR,LAA,5,10
tuesday jun 18,TOR,LAA,1,3
wednesday jun 19,TOR,LAA,6,11
thursday jun 20,TOR,LAA,7,5
friday jun 21,STL,LAA,5,1
saturday jun 22,STL,LAA,4,2
sunday jun 23,STL,LAA,4,6
tuesday jun 25,LAA,CIN,5,1
wednesday jun 26,LAA,CIN,5,1
thursday jun 27,LAA,OAK,8,3
friday jun 28,LAA,OAK,2,7
saturday jun 29,LAA,OAK,0,4
sunday jun 30,LAA,OAK,3,12
tuesday jul 2,TEX,LAA,4,9
wednesday jul 3,TEX,LAA,2,6
thursday jul 4,TEX,LAA,9,3
friday jul 5,HOU,LAA,4,5
saturday jul 6,HOU,LAA,4,0
sunday jul 7,HOU,LAA,11,10
friday jul 12,LAA,SEA,13,0
saturday jul 13,LAA,SEA,9,2
sunday jul 14,LAA,SEA,6,3
monday jul 15,LAA,HOU,9,6
tuesday jul 16,LAA,HOU,7,2
wednesday jul 17,LAA,HOU,2,11
thursday jul 18,LAA,HOU,2,6
friday jul 19,SEA,LAA,10,0
saturday jul 20,SEA,LAA,2,6
sunday jul 21,SEA,LAA,3,9
tuesday jul 23,LAD,LAA,4,5
wednesday jul 24,LAD,LAA,2,3
thursday jul 25,LAA,BAL,8,10
friday jul 26,LAA,BAL,3,9
saturday jul 27,LAA,BAL,7,8
sunday jul 28,LAA,BAL,5,4
monday jul 29,LAA,DET,2,7
tuesday jul 30,LAA,DET,6,1
