Date,Home_Win,Home,Away,Home_Streak,Away_Streak,Home_Win_Percentage,Away_Win_Percentage
thursday mar 28,W,OAK,LAA,-2,0,0.0,0.0
friday mar 29,L,OAK,LAA,1,-1,0.3333333333333333,0.0
saturday mar 30,W,OAK,LAA,-1,1,0.25,0.5
sunday mar 31,W,OAK,LAA,1,-1,0.4,0.3333333333333333
monday apr 1,W,SEA,LAA,2,-2,0.8333333333333334,0.25
tuesday apr 2,W,SEA,LAA,3,-3,0.8571428571428571,0.2
thursday apr 4,L,LAA,TEX,-4,2,0.16666666666666666,0.6666666666666666
friday apr 5,W,LAA,TEX,-5,3,0.14285714285714285,0.7142857142857143
saturday apr 6,W,LAA,TEX,1,-1,0.25,0.625
sunday apr 7,W,LAA,TEX,2,-2,0.3333333333333333,0.5555555555555556
monday apr 8,W,LAA,MIL,3,1,0.4,0.8
tuesday apr 9,W,LAA,MIL,4,-1,0.4545454545454545,0.7272727272727273
wednesday apr 10,W,LAA,MIL,5,-2,0.5,0.6666666666666666
friday apr 12,W,CHC,LAA,1,6,0.6666666666666666,0.5384615384615384
saturday apr 13,L,CHC,LAA,2,-1,0.6153846153846154,0.5
monday apr 15,W,TEX,LAA,1,1,0.5,0.5333333333333333
tuesday apr 16,W,TEX,LAA,2,-1,0.5333333333333333,0.5
wednesday apr 17,W,TEX,LAA,3,-2,0.5625,0.4705882352941176
thursday apr 18,L,LAA,SEA,-3,-6,0.4444444444444444,0.6190476190476191
friday apr 19,L,LAA,SEA,-4,1,0.42105263157894735,0.6363636363636364
saturday apr 20,L,LAA,SEA,-5,2,0.4,0.6521739130434783
sunday apr 21,W,LAA,SEA,-6,3,0.3809523809523809,0.6666666666666666
monday apr 22,L,LAA,NYY,1,3,0.4090909090909091,0.5238095238095238
tuesday apr 23,L,LAA,NYY,-1,4,0.39130434782608703,0.5454545454545454
wednesday apr 24,L,LAA,NYY,-2,5,0.375,0.5652173913043478
thursday apr 25,W,LAA,NYY,-3,6,0.36,0.5833333333333334
friday apr 26,L,KCR,LAA,1,1,0.32,0.38461538461538464
saturday apr 27,W,KCR,LAA,-1,2,0.3076923076923077,0.4074074074074074
sunday apr 28,L,KCR,LAA,1,-1,0.3333333333333333,0.3928571428571429
tuesday apr 30,W,LAA,TOR,1,3,0.4137931034482759,0.5
wednesday may 1,W,LAA,TOR,2,-1,0.43333333333333335,0.4827586206896552
thursday may 2,W,LAA,TOR,3,-2,0.4516129032258064,0.4666666666666667
saturday may 4,L,LAA,HOU,4,-2,0.46875,0.5625
sunday may 5,L,LAA,HOU,-1,1,0.4545454545454545,0.5757575757575758
tuesday may 7,L,DET,LAA,1,-2,0.4838709677419355,0.4411764705882353
wednesday may 8,W,DET,LAA,-1,1,0.46875,0.4571428571428571
thursday may 9,L,DET,LAA,1,-1,0.4848484848484849,0.4444444444444444
friday may 10,L,BAL,LAA,-2,1,0.35135135135135137,0.4594594594594595
saturday may 11,L,BAL,LAA,-3,2,0.34210526315789475,0.4736842105263158
sunday may 12,W,BAL,LAA,-4,3,0.3333333333333333,0.4871794871794872
monday may 13,L,MIN,LAA,-1,-1,0.6410256410256411,0.475
tuesday may 14,W,MIN,LAA,-2,1,0.625,0.4878048780487805
wednesday may 15,W,MIN,LAA,1,-1,0.6341463414634146,0.4761904761904762
friday may 17,W,LAA,KCR,-2,-2,0.4651162790697674,0.3409090909090909
saturday may 18,W,LAA,KCR,1,-3,0.4772727272727273,0.3333333333333333
sunday may 19,L,LAA,KCR,2,-4,0.4888888888888889,0.32608695652173914
monday may 20,L,LAA,MIN,-1,-1,0.4782608695652174,0.6521739130434783
tuesday may 21,L,LAA,MIN,-2,1,0.4680851063829787,0.6595744680851063
thursday may 23,L,LAA,MIN,-3,2,0.4583333333333333,0.6666666666666666
friday may 24,L,LAA,TEX,-4,4,0.4489795918367347,0.5106382978723404
saturday may 25,W,LAA,TEX,-5,5,0.44,0.5208333333333334
sunday may 26,W,LAA,TEX,1,-1,0.4509803921568628,0.5102040816326531
monday may 27,W,OAK,LAA,10,2,0.5370370370370371,0.4615384615384616
tuesday may 28,L,OAK,LAA,11,-1,0.5454545454545454,0.4528301886792453
wednesday may 29,L,OAK,LAA,-1,1,0.5357142857142857,0.46296296296296297
thursday may 30,L,SEA,LAA,-2,2,0.4137931034482759,0.4727272727272727
friday may 31,W,SEA,LAA,-3,3,0.4067796610169492,0.4821428571428572
saturday jun 1,L,SEA,LAA,1,-1,0.4166666666666667,0.4736842105263158
sunday jun 2,L,SEA,LAA,-1,1,0.4098360655737705,0.4827586206896552
monday jun 3,W,CHC,LAA,-3,2,0.543859649122807,0.4915254237288136
tuesday jun 4,L,LAA,OAK,-1,-5,0.4833333333333333,0.5
wednesday jun 5,W,LAA,OAK,-2,1,0.4754098360655738,0.5081967213114754
thursday jun 6,L,LAA,OAK,1,-1,0.4838709677419355,0.5
friday jun 7,L,LAA,SEA,-1,-1,0.4761904761904762,0.3939393939393939
saturday jun 8,W,LAA,SEA,-2,1,0.46875,0.4029850746268657
sunday jun 9,L,LAA,SEA,1,-1,0.476923076923077,0.3970588235294117
monday jun 10,W,LAA,LAD,-1,2,0.4696969696969697,0.6818181818181818
tuesday jun 11,W,LAA,LAD,1,-1,0.4776119402985074,0.6716417910447762
thursday jun 13,L,TBR,LAA,-2,2,0.6119402985074627,0.4852941176470588
friday jun 14,W,TBR,LAA,-3,3,0.6029411764705882,0.4927536231884058
saturday jun 15,L,TBR,LAA,1,-1,0.6086956521739131,0.4857142857142857
sunday jun 16,W,TBR,LAA,-1,1,0.6,0.4929577464788733
monday jun 17,L,TOR,LAA,1,-1,0.3661971830985916,0.4861111111111111
tuesday jun 18,L,TOR,LAA,-1,1,0.3611111111111111,0.4931506849315068
wednesday jun 19,L,TOR,LAA,-2,2,0.3561643835616438,0.5
thursday jun 20,W,TOR,LAA,-3,3,0.35135135135135137,0.5066666666666667
friday jun 21,W,STL,LAA,-1,-1,0.5135135135135135,0.5
saturday jun 22,W,STL,LAA,1,-2,0.52,0.4935064935064935
sunday jun 23,L,STL,LAA,2,-3,0.5263157894736842,0.4871794871794872
tuesday jun 25,W,LAA,CIN,1,-2,0.4936708860759494,0.4736842105263158
wednesday jun 26,W,LAA,CIN,2,-3,0.5,0.4675324675324675
thursday jun 27,W,LAA,OAK,3,2,0.5061728395061729,0.5365853658536586
friday jun 28,L,LAA,OAK,4,-1,0.5121951219512195,0.5301204819277109
saturday jun 29,L,LAA,OAK,-1,1,0.5060240963855421,0.5357142857142857
sunday jun 30,L,LAA,OAK,-2,2,0.5,0.5411764705882353
tuesday jul 2,L,TEX,LAA,-2,-3,0.5476190476190477,0.4941176470588236
wednesday jul 3,L,TEX,LAA,-3,1,0.5411764705882353,0.5
thursday jul 4,W,TEX,LAA,-4,2,0.5348837209302325,0.5057471264367817
friday jul 5,L,HOU,LAA,5,-1,0.632183908045977,0.5
saturday jul 6,W,HOU,LAA,-1,1,0.625,0.5056179775280899
sunday jul 7,W,HOU,LAA,1,-1,0.6292134831460674,0.5
friday jul 12,W,LAA,SEA,-2,-1,0.4945054945054945,0.4148936170212766
saturday jul 13,W,LAA,SEA,1,-2,0.5,0.4105263157894737
sunday jul 14,W,LAA,SEA,2,-3,0.5053763440860215,0.40625
monday jul 15,W,LAA,HOU,3,2,0.5106382978723404,0.6276595744680851
tuesday jul 16,W,LAA,HOU,4,-1,0.5157894736842106,0.6210526315789474
wednesday jul 17,L,LAA,HOU,5,-2,0.5208333333333334,0.6145833333333334
thursday jul 18,L,LAA,HOU,-1,1,0.5154639175257731,0.6185567010309279
friday jul 19,W,SEA,LAA,-6,-2,0.3939393939393939,0.5102040816326531
saturday jul 20,L,SEA,LAA,1,-3,0.4,0.5050505050505051
sunday jul 21,L,SEA,LAA,-1,1,0.3960396039603961,0.51
tuesday jul 23,L,LAD,LAA,3,2,0.6568627450980392,0.5148514851485149
wednesday jul 24,L,LAD,LAA,-1,3,0.6504854368932039,0.5196078431372549
thursday jul 25,L,LAA,BAL,4,-1,0.5242718446601942,0.31683168316831684
friday jul 26,L,LAA,BAL,-1,1,0.5192307692307693,0.3235294117647059
saturday jul 27,L,LAA,BAL,-2,2,0.5142857142857142,0.3300970873786408
sunday jul 28,W,LAA,BAL,-3,3,0.5094339622641509,0.3365384615384616
monday jul 29,L,LAA,DET,1,-6,0.514018691588785,0.29411764705882354
tuesday jul 30,W,LAA,DET,-1,1,0.5092592592592593,0.3009708737864077
wednesday jul 31,L,LAA,DET,1,-1,0.5137614678899083,0.2980769230769231
friday aug 2,W,CLE,LAA,-1,-1,0.5833333333333334,0.509090909090909
saturday aug 3,W,CLE,LAA,1,-2,0.5871559633027523,0.5045045045045045
sunday aug 4,W,CLE,LAA,2,-3,0.5909090909090909,0.5
monday aug 5,W,CIN,LAA,1,-4,0.4727272727272727,0.4955752212389381
tuesday aug 6,W,CIN,LAA,2,-5,0.4774774774774775,0.4912280701754386
thursday aug 8,W,BOS,LAA,1,-6,0.5213675213675214,0.4869565217391305
friday aug 9,W,BOS,LAA,2,-7,0.5254237288135594,0.4827586206896552
saturday aug 10,L,BOS,LAA,3,-8,0.5294117647058824,0.4786324786324786
sunday aug 11,L,BOS,LAA,-1,1,0.525,0.4830508474576271
monday aug 12,L,LAA,PIT,2,-8,0.4873949579831933,0.41025641025641024
tuesday aug 13,L,LAA,PIT,-1,1,0.4833333333333333,0.4152542372881356
wednesday aug 14,W,LAA,PIT,-2,2,0.4793388429752066,0.4201680672268908
thursday aug 15,W,LAA,CHW,1,2,0.4836065573770492,0.4537815126050421
friday aug 16,L,LAA,CHW,2,-1,0.4878048780487805,0.45
saturday aug 17,W,LAA,CHW,-1,1,0.4838709677419355,0.4545454545454545
sunday aug 18,W,LAA,CHW,1,-1,0.488,0.4508196721311475
monday aug 19,W,TEX,LAA,-4,2,0.4838709677419355,0.49206349206349204
tuesday aug 20 (1),L,TEX,LAA,1,-1,0.488,0.4881889763779528
tuesday aug 20 (2),W,TEX,LAA,-1,1,0.4841269841269841,0.4921875
wednesday aug 21,W,TEX,LAA,1,-1,0.4881889763779528,0.4883720930232558
friday aug 23,W,HOU,LAA,1,-2,0.6356589147286822,0.4846153846153846
saturday aug 24,W,HOU,LAA,2,-3,0.6384615384615384,0.4809160305343512
sunday aug 25,W,HOU,LAA,3,-4,0.6412213740458015,0.4772727272727273
tuesday aug 27,W,LAA,TEX,-5,-1,0.4736842105263158,0.4848484848484849
wednesday aug 28,L,LAA,TEX,1,-2,0.4776119402985074,0.4812030075187971
friday aug 30,L,LAA,BOS,-1,2,0.4740740740740741,0.5373134328358209
saturday aug 31,W,LAA,BOS,-2,3,0.4705882352941176,0.5407407407407407
sunday sep 1,L,LAA,BOS,1,-1,0.4744525547445255,0.5367647058823529
tuesday sep 3,W,OAK,LAA,-2,-1,0.5766423357664233,0.4710144927536232
wednesday sep 4,W,OAK,LAA,1,-2,0.5797101449275363,0.4676258992805755
thursday sep 5,W,OAK,LAA,2,-3,0.5827338129496403,0.4642857142857143
friday sep 6,L,CHW,LAA,1,-4,0.4428571428571429,0.4609929078014184
saturday sep 7,L,CHW,LAA,-1,1,0.4397163120567376,0.4647887323943662
sunday sep 8,W,CHW,LAA,-2,2,0.4366197183098591,0.4685314685314685
