Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta
thursday mar 28,W,OAK,LAA,0.0,-2
friday mar 29,L,OAK,LAA,0.3333333333333333,2
saturday mar 30,W,OAK,LAA,-0.25,-2
sunday mar 31,W,OAK,LAA,0.06666666666666671,2
monday apr 1,W,SEA,LAA,0.5833333333333334,4
tuesday apr 2,W,SEA,LAA,0.657142857142857,6
thursday apr 4,L,LAA,TEX,-0.5,-6
friday apr 5,W,LAA,TEX,-0.5714285714285714,-8
saturday apr 6,W,LAA,TEX,-0.375,2
sunday apr 7,W,LAA,TEX,-0.22222222222222227,4
monday apr 8,W,LAA,MIL,-0.4,2
tuesday apr 9,W,LAA,MIL,-0.2727272727272728,5
wednesday apr 10,W,LAA,MIL,-0.16666666666666663,7
friday apr 12,W,CHC,LAA,0.1282051282051282,-5
saturday apr 13,L,CHC,LAA,0.11538461538461542,3
monday apr 15,W,TEX,LAA,-0.033333333333333326,0
tuesday apr 16,W,TEX,LAA,0.033333333333333326,3
wednesday apr 17,W,TEX,LAA,0.09191176470588241,5
thursday apr 18,L,LAA,SEA,-0.17460317460317465,3
friday apr 19,L,LAA,SEA,-0.215311004784689,-5
saturday apr 20,L,LAA,SEA,-0.25217391304347825,-7
sunday apr 21,W,LAA,SEA,-0.28571428571428575,-9
monday apr 22,L,LAA,NYY,-0.11471861471861472,-2
tuesday apr 23,L,LAA,NYY,-0.15415019762845839,-5
wednesday apr 24,L,LAA,NYY,-0.19021739130434778,-7
thursday apr 25,W,LAA,NYY,-0.22333333333333338,-9
friday apr 26,L,KCR,LAA,-0.06461538461538463,0
saturday apr 27,W,KCR,LAA,-0.09971509971509968,-3
sunday apr 28,L,KCR,LAA,-0.05952380952380959,2
tuesday apr 30,W,LAA,TOR,-0.08620689655172409,-2
wednesday may 1,W,LAA,TOR,-0.049425287356321845,3
thursday may 2,W,LAA,TOR,-0.01505376344086029,5
saturday may 4,L,LAA,HOU,-0.09375,6
sunday may 5,L,LAA,HOU,-0.12121212121212133,-2
tuesday may 7,L,DET,LAA,0.04269449715370022,3
wednesday may 8,W,DET,LAA,0.011607142857142927,-2
