Gm#,Home_Game,Opp,Streak,Tm,W-L,W/L,Team_Win_Percentage
1,0,OAK,-1,LAA,0-1,L,0.0
2,0,OAK,1,LAA,1-1,W,0.5
3,0,OAK,-1,LAA,1-2,L,0.3333333333333333
4,0,OAK,-2,LAA,1-3,L,0.25
5,0,SEA,-3,LAA,1-4,L,0.2
6,0,SEA,-4,LAA,1-5,L,0.16666666666666666
7,1,TEX,-5,LAA,1-6,L,0.14285714285714285
8,1,TEX,1,LAA,2-6,W,0.25
9,1,TEX,2,LAA,3-6,W,0.3333333333333333
10,1,TEX,3,LAA,4-6,W,0.4
11,1,MIL,4,LAA,5-6,W,0.45454545454545453
12,1,MIL,5,LAA,6-6,W,0.5
13,1,MIL,6,LAA,7-6,W,0.5384615384615384
14,0,CHC,-1,LAA,7-7,L,0.5
15,0,CHC,1,LAA,8-7,W,0.5333333333333333
16,0,TEX,-1,LAA,8-8,L,0.5
17,0,TEX,-2,LAA,8-9,L,0.47058823529411764
18,0,TEX,-3,LAA,8-10,L,0.4444444444444444
19,1,SEA,-4,LAA,8-11,L,0.42105263157894735
20,1,SEA,-5,LAA,8-12,L,0.4
21,1,SEA,-6,LAA,8-13,L,0.38095238095238093
22,1,SEA,1,LAA,9-13,W,0.4090909090909091
23,1,NYY,-1,LAA,9-14,L,0.391304347826087
24,1,NYY,-2,LAA,9-15,L,0.375
25,1,NYY,-3,LAA,9-16,L,0.36
26,1,NYY,1,LAA,10-16,W,0.38461538461538464
27,0,KCR,2,LAA,11-16,W,0.4074074074074074
28,0,KCR,-1,LAA,11-17,L,0.39285714285714285
29,0,KCR,1,LAA,12-17,W,0.41379310344827586
30,1,TOR,2,LAA,13-17,W,0.43333333333333335
31,1,TOR,3,LAA,14-17,W,0.45161290322580644
32,1,TOR,4,LAA,15-17,W,0.46875
33,1,HOU,-1,LAA,15-18,L,0.45454545454545453
34,1,HOU,-2,LAA,15-19,L,0.4411764705882353
35,0,DET,1,LAA,16-19,W,0.45714285714285713
36,0,DET,-1,LAA,16-20,L,0.4444444444444444
37,0,DET,1,LAA,17-20,W,0.4594594594594595
38,0,BAL,2,LAA,18-20,W,0.47368421052631576
39,0,BAL,3,LAA,19-20,W,0.48717948717948717
40,0,BAL,-1,LAA,19-21,L,0.475
41,0,MIN,1,LAA,20-21,W,0.4878048780487805
42,0,MIN,-1,LAA,20-22,L,0.47619047619047616
43,0,MIN,-2,LAA,20-23,L,0.46511627906976744
44,1,KCR,1,LAA,21-23,W,0.4772727272727273
45,1,KCR,2,LAA,22-23,W,0.4888888888888889
46,1,KCR,-1,LAA,22-24,L,0.4782608695652174
47,1,MIN,-2,LAA,22-25,L,0.46808510638297873
48,1,MIN,-3,LAA,22-26,L,0.4583333333333333
49,1,MIN,-4,LAA,22-27,L,0.4489795918367347
50,1,TEX,-5,LAA,22-28,L,0.44
51,1,TEX,1,LAA,23-28,W,0.45098039215686275
52,1,TEX,2,LAA,24-28,W,0.46153846153846156
53,0,OAK,-1,LAA,24-29,L,0.4528301886792453
54,0,OAK,1,LAA,25-29,W,0.46296296296296297
55,0,OAK,2,LAA,26-29,W,0.4727272727272727
56,0,SEA,3,LAA,27-29,W,0.48214285714285715
57,0,SEA,-1,LAA,27-30,L,0.47368421052631576
58,0,SEA,1,LAA,28-30,W,0.4827586206896552
59,0,SEA,2,LAA,29-30,W,0.4915254237288136
60,0,CHC,-1,LAA,29-31,L,0.48333333333333334
61,1,OAK,-2,LAA,29-32,L,0.47540983606557374
62,1,OAK,1,LAA,30-32,W,0.4838709677419355
63,1,OAK,-1,LAA,30-33,L,0.47619047619047616
64,1,SEA,-2,LAA,30-34,L,0.46875
65,1,SEA,1,LAA,31-34,W,0.47692307692307695
66,1,SEA,-1,LAA,31-35,L,0.4696969696969697
67,1,LAD,1,LAA,32-35,W,0.47761194029850745
68,1,LAD,2,LAA,33-35,W,0.4852941176470588
69,0,TBR,3,LAA,34-35,W,0.4927536231884058
70,0,TBR,-1,LAA,34-36,L,0.4857142857142857
71,0,TBR,1,LAA,35-36,W,0.49295774647887325
72,0,TBR,-1,LAA,35-37,L,0.4861111111111111
73,0,TOR,1,LAA,36-37,W,0.4931506849315068
74,0,TOR,2,LAA,37-37,W,0.5
75,0,TOR,3,LAA,38-37,W,0.5066666666666667
76,0,TOR,-1,LAA,38-38,L,0.5
77,0,STL,-2,LAA,38-39,L,0.4935064935064935
78,0,STL,-3,LAA,38-40,L,0.48717948717948717
79,0,STL,1,LAA,39-40,W,0.4936708860759494
80,1,CIN,2,LAA,40-40,W,0.5
81,1,CIN,3,LAA,41-40,W,0.5061728395061729
82,1,OAK,4,LAA,42-40,W,0.5121951219512195
83,1,OAK,-1,LAA,42-41,L,0.5060240963855421
84,1,OAK,-2,LAA,42-42,L,0.5
85,1,OAK,-3,LAA,42-43,L,0.49411764705882355
86,0,TEX,1,LAA,43-43,W,0.5
87,0,TEX,2,LAA,44-43,W,0.5057471264367817
