Gm#,Home_Game,Date,Tm,Opp,R,RA
1,0,Thursday Mar 28,LAA,OAK,0,4
2,0,Friday Mar 29,LAA,OAK,6,2
3,0,Saturday Mar 30,LAA,OAK,2,4
4,0,Sunday Mar 31,LAA,OAK,1,2
5,0,Monday Apr 1,LAA,SEA,3,6
6,0,Tuesday Apr 2,LAA,SEA,1,2
7,1,Thursday Apr 4,LAA,TEX,4,11
8,1,Friday Apr 5,LAA,TEX,3,1
9,1,Saturday Apr 6,LAA,TEX,5,1
10,1,Sunday Apr 7,LAA,TEX,7,2
11,1,Monday Apr 8,LAA,MIL,5,2
12,1,Tuesday Apr 9,LAA,MIL,11,8
13,1,Wednesday Apr 10,LAA,MIL,4,2
14,0,Friday Apr 12,LAA,CHC,1,5
15,0,Saturday Apr 13,LAA,CHC,6,5
16,0,Monday Apr 15,LAA,TEX,7,12
17,0,Tuesday Apr 16,LAA,TEX,0,5
18,0,Wednesday Apr 17,LAA,TEX,4,5
19,1,Thursday Apr 18,LAA,SEA,10,11
20,1,Friday Apr 19,LAA,SEA,3,5
21,1,Saturday Apr 20,LAA,SEA,5,6
22,1,Sunday Apr 21,LAA,SEA,8,6
23,1,Monday Apr 22,LAA,NYY,3,4
24,1,Tuesday Apr 23,LAA,NYY,5,7
25,1,Wednesday Apr 24,LAA,NYY,5,6
26,1,Thursday Apr 25,LAA,NYY,11,5
27,0,Friday Apr 26,LAA,KCR,5,1
28,0,Saturday Apr 27,LAA,KCR,4,9
29,0,Sunday Apr 28,LAA,KCR,7,3
30,1,Tuesday Apr 30,LAA,TOR,4,3
31,1,Wednesday May 1,LAA,TOR,6,3
32,1,Thursday May 2,LAA,TOR,6,2
33,1,Saturday May 4,LAA,HOU,2,14
34,1,Sunday May 5,LAA,HOU,4,10
35,0,Tuesday May 7,LAA,DET,5,2
36,0,Wednesday May 8,LAA,DET,3,10
37,0,Thursday May 9,LAA,DET,13,0
38,0,Friday May 10,LAA,BAL,8,3
39,0,Saturday May 11,LAA,BAL,7,2
40,0,Sunday May 12,LAA,BAL,1,5
41,0,Monday May 13,LAA,MIN,5,4
42,0,Tuesday May 14,LAA,MIN,3,4
43,0,Wednesday May 15,LAA,MIN,7,8
44,1,Friday May 17,LAA,KCR,5,2
45,1,Saturday May 18,LAA,KCR,6,3
46,1,Sunday May 19,LAA,KCR,1,5
47,1,Monday May 20,LAA,MIN,1,3
