Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
thursday mar 28,W,OAK,LAA,0.0,-2,11,14,-3,0.7857,0,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
friday mar 29,L,OAK,LAA,0.3333333333333333,2,15,10,5,1.0714,1,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday mar 30,W,OAK,LAA,-0.25,-2,11,14,-3,-0.15000000000000002,0,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
sunday mar 31,W,OAK,LAA,0.06666666666666671,2,13,12,1,0.15449999999999994,1,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
monday apr 1,W,SEA,LAA,0.5833333333333334,4,39,23,16,0.6214,4,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday apr 2,W,SEA,LAA,0.6571428571428571,6,42,20,22,0.7544000000000001,5,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
thursday apr 4,L,LAA,TEX,-0.5,-6,-21,-14,-7,-0.35,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
friday apr 5,W,LAA,TEX,-0.5714285714285714,-8,-28,-7,-21,-0.6357999999999999,-4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
saturday apr 6,W,LAA,TEX,-0.375,2,-26,-9,-17,-0.4970000000000001,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
sunday apr 7,W,LAA,TEX,-0.22222222222222227,4,-22,-13,-9,-0.2641,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
monday apr 8,W,LAA,MIL,-0.4,2,-21,-16,-5,-0.1248999999999999,-4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.246,0.329,0.438,-0.7,0.246,0.321,0.425
tuesday apr 9,W,LAA,MIL,-0.2727272727272728,5,-18,-19,1,0.017900000000000027,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.246,0.329,0.438,-0.7,0.246,0.321,0.425
wednesday apr 10,W,LAA,MIL,-0.16666666666666666,7,-15,-22,7,0.12639999999999996,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.246,0.329,0.438,-0.7,0.246,0.321,0.425
friday apr 12,W,CHC,LAA,0.1282051282051282,-5,24,29,-5,-0.10640000000000004,-3,0.252,0.331,0.452,8.1,0.251,0.32299999999999995,0.414,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday apr 13,L,CHC,LAA,0.11538461538461542,3,28,25,3,0.03269999999999995,-2,0.252,0.331,0.452,8.1,0.251,0.32299999999999995,0.414,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
monday apr 15,W,TEX,LAA,-0.033333333333333326,0,13,18,-5,-0.07509999999999993,-1,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday apr 16,W,TEX,LAA,0.033333333333333326,3,18,13,5,0.06789999999999996,0,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
wednesday apr 17,W,TEX,LAA,0.0919117647058824,5,23,8,15,0.1934999999999999,1,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
thursday apr 18,L,LAA,SEA,-0.17460317460317465,3,-62,-23,-39,-0.408,-5,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
friday apr 19,L,LAA,SEA,-0.21531100478468895,-5,-63,-22,-41,-0.3878999999999999,-6,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
saturday apr 20,L,LAA,SEA,-0.25217391304347825,-7,-65,-20,-45,-0.4132999999999999,-7,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
sunday apr 21,W,LAA,SEA,-0.2857142857142857,-9,-66,-19,-47,-0.41200000000000014,-8,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
monday apr 22,L,LAA,NYY,-0.11471861471861472,-2,-13,25,-38,-0.4320999999999999,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.267,0.339,0.49,11.2,0.248,0.314,0.439
tuesday apr 23,L,LAA,NYY,-0.1541501976284584,-5,-14,26,-40,-0.4374999999999999,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.267,0.339,0.49,11.2,0.248,0.314,0.439
wednesday apr 24,L,LAA,NYY,-0.19021739130434773,-7,-16,28,-44,-0.4519,-4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.267,0.339,0.49,11.2,0.248,0.314,0.439
thursday apr 25,W,LAA,NYY,-0.22333333333333336,-9,-17,29,-46,-0.4473,-5,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.267,0.339,0.49,11.2,0.248,0.314,0.439
friday apr 26,L,KCR,LAA,-0.06461538461538463,0,-6,3,-9,-0.06659999999999999,-2,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday apr 27,W,KCR,LAA,-0.09971509971509968,-3,-10,7,-17,-0.1221,-3,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
sunday apr 28,L,KCR,LAA,-0.05952380952380959,2,-5,2,-7,-0.048700000000000083,-2,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday apr 30,W,LAA,TOR,-0.08620689655172409,-2,19,36,-17,-0.1460999999999999,-2,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday may 1,W,LAA,TOR,-0.04942528735632185,3,20,35,-15,-0.12539999999999996,-1,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday may 2,W,LAA,TOR,-0.01505376344086029,5,23,32,-9,-0.07379999999999998,0,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday may 4,L,LAA,HOU,-0.09375,6,5,31,-26,-0.222,-3,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.274,0.35200000000000004,0.495,12.8,0.221,0.28300000000000003,0.397
sunday may 5,L,LAA,HOU,-0.12121212121212133,-2,-7,43,-50,-0.3916,-4,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.274,0.35200000000000004,0.495,12.8,0.221,0.28300000000000003,0.397
tuesday may 7,L,DET,LAA,0.04269449715370022,3,-49,-32,-17,-0.14039999999999994,0,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
wednesday may 8,W,DET,LAA,0.011607142857142929,-2,-52,-29,-23,-0.17100000000000004,-1,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
thursday may 9,L,DET,LAA,0.0404040404040405,2,-45,-36,-9,-0.08579999999999999,0,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
friday may 10,L,BAL,LAA,-0.10810810810810813,-3,-30,32,-62,-0.27890000000000004,-4,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
saturday may 11,L,BAL,LAA,-0.13157894736842107,-5,-35,37,-72,-0.3168,-5,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
sunday may 12,W,BAL,LAA,-0.1538461538461539,-7,-40,42,-82,-0.3548,-6,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
monday may 13,L,MIN,LAA,0.1660256410256411,0,11,-41,52,0.33409999999999995,6,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
tuesday may 14,W,MIN,LAA,0.13719512195121952,-3,10,-40,50,0.3125,5,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
wednesday may 15,W,MIN,LAA,0.15795586527293842,2,11,-41,52,0.3178,6,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.247,0.324,0.422,-3.2,0.254,0.331,0.459
friday may 17,W,LAA,KCR,0.1242071881606765,0,11,-21,32,0.13650000000000007,5,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
saturday may 18,W,LAA,KCR,0.14393939393939398,4,14,-24,38,0.1601999999999999,6,0.247,0.324,0.422,-3.2,0.254,0.331,0.459,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
